STATION_NO,STATION_NAME,LINE_NO,TRANSFER_YN,EXIT_COUNT,WEEK_START_TIME,WEEK_END_TIME,HOL_START_TIME,HOL_END_TIME,TOILET_IO,TOILET_FM,TOILET_COUNT
420,서울역,4,Y,,,,,,,,
421,숙대입구,4,N,,,,,,,,
422,삼각지,4,Y,,,,,,,,
423,신용산,4,N,,,,,,,,
424,이촌,4,N,,,,,,,,
425,동작,4,Y,,,,,,,,
426,총신대입구,4,N,,,,,,,,
427,사당,4,Y,,,,,,,,
428,남태령,4,N,,,,,,,,
429,선바위,4,N,,,,,,,,
430,경마공원,4,N,,,,,,,,
431,대공원,4,N,,,,,,,,
432,과천,4,N,,,,,,,,
433,정부과천청사,4,N,,,,,,,,
434,인덕원,4,N,,,,,,,,
435,평촌,4,N,,,,,,,,
436,범계,4,N,,,,,,,,
437,금정,4,Y,,,,,,,,
438,산본,4,N,,,,,,,,
439,수리산,4,N,,,,,,,,
440,대야미,4,N,,,,,,,,
441,반월,4,N,,,,,,,,
442,상록수,4,N,,,,,,,,
443,한대앞,4,N,,,,,,,,
444,중앙,4,N,,,,,,,,
445,고잔,4,N,,,,,,,,
446,초지,4,N,,,,,,,,
447,안산,4,N,,,,,,,,
448,신길온천,4,N,,,,,,,,
449,정왕,4,N,,,,,,,,
450,오이도,4,N,,,,,,,,
500,방화,5,N,,,,,,,,
501,개화산,5,N,,,,,,,,
502,김포공항,5,Y,,,,,,,,
503,송정,5,N,,,,,,,,
504,마곡,5,N,,,,,,,,
505,발산,5,N,,,,,,,,
506,우장산,5,N,,,,,,,,
507,화곡,5,N,,,,,,,,
508,까치산,5,Y,,,,,,,,
509,신정,5,N,,,,,,,,
510,목동,5,N,,,,,,,,
511,오목교,5,N,,,,,,,,
512,양평,5,N,,,,,,,,
513,영등포구청,5,Y,,,,,,,,
514,영등포시장,5,N,,,,,,,,
515,신길,5,Y,,,,,,,,
516,여의도,5,Y,,,,,,,,
517,여의나루,5,N,,,,,,,,
518,마포,5,N,,,,,,,,
519,공덕,5,Y,,,,,,,,
520,애오개,5,N,,,,,,,,
521,충정로,5,Y,,,,,,,,
522,서대문,5,N,,,,,,,,
523,광화문,5,N,,,,,,,,
524,종로3가,5,Y,,,,,,,,
525,을지로4가,5,Y,,,,,,,,
526,동대문역사문화공원,5,Y,,,,,,,,
527,청구,5,Y,,,,,,,,
528,신금호,5,N,,,,,,,,
529,행당,5,N,,,,,,,,
530,왕십리,5,Y,,,,,,,,
531,마장,5,N,,,,,,,,
532,답십리,5,N,,,,,,,,
533,장한평,5,N,,,,,,,,
534,군자,5,Y,,,,,,,,
535,아차산,5,N,,,,,,,,
536,광나루,5,N,,,,,,,,
537,천호,5,Y,,,,,,,,
538,강동,5,N,,,,,,,,
539,길동,5,N,,,,,,,,
540,굽은다리,5,N,,,,,,,,
541,명일,5,N,,,,,,,,
542,고덕,5,N,,,,,,,,
543,상일동,5,N,,,,,,,,
544,강일,5,N,,,,,,,,
545,미사,5,N,,,,,,,,
546,하남풍산,5,N,,,,,,,,
547,하남시청,5,N,,,,,,,,
548,하남검단산,5,N,,,,,,,,
600,응암,6,N,,,,,,,,
601,역촌,6,N,,,,,,,,
602,불광,6,Y,,,,,,,,
603,독바위,6,N,,,,,,,,
604,연신내,6,Y,,,,,,,,
605,구산,6,N,,,,,,,,
606,새절,6,N,,,,,,,,
607,증산,6,N,,,,,,,,
608,디지털미디어시티,6,N,,,,,,,,
609,월드컵경기장,6,N,,,,,,,,
610,마포구청,6,N,,,,,,,,
611,망원,6,N,,,,,,,,
612,합정,6,Y,,,,,,,,
613,상수,6,N,,,,,,,,
614,광흥창,6,N,,,,,,,,
615,대흥,6,N,,,,,,,,
616,공덕,6,Y,,,,,,,,
617,효창공원앞,6,N,,,,,,,,
618,삼각지,6,Y,,,,,,,,
619,녹사평,6,N,,,,,,,,
620,이태원,6,N,,,,,,,,
621,한강진,6,N,,,,,,,,
622,버티고개,6,N,,,,,,,,
623,약수,6,Y,,,,,,,,
624,청구,6,Y,,,,,,,,
625,신당,6,Y,,,,,,,,
626,동묘앞,6,Y,,,,,,,,
627,창신,6,N,,,,,,,,
628,보문,6,N,,,,,,,,
629,안암,6,N,,,,,,,,
630,고려대,6,N,,,,,,,,
631,월곡,6,N,,,,,,,,
632,상월곡,6,N,,,,,,,,
633,돌곶이,6,N,,,,,,,,
634,석계,6,Y,,,,,,,,
635,태릉입구,6,Y,,,,,,,,
636,화랑대,6,N,,,,,,,,
637,봉화산,6,N,,,,,,,,
638,신내,6,N,,,,,,,,
700,장암,7,N,,,,,,,,
701,도봉산,7,Y,,,,,,,,
702,수락산,7,N,,,,,,,,
703,마들,7,N,,,,,,,,
704,노원,7,Y,,,,,,,,
705,중계,7,N,,,,,,,,
706,하계,7,N,,,,,,,,
707,공릉,7,N,,,,,,,,
708,태릉입구,7,Y,,,,,,,,
709,먹골,7,N,,,,,,,,
710,중화,7,N,,,,,,,,
711,상봉,7,N,,,,,,,,
712,면목,7,N,,,,,,,,
713,사가정,7,N,,,,,,,,
714,용마산,7,N,,,,,,,,
715,중곡,7,N,,,,,,,,
716,군자,7,Y,,,,,,,,
717,어린이대공원,7,N,,,,,,,,
718,건대입구,7,Y,,,,,,,,
719,뚝섬유원지,7,N,,,,,,,,
720,청담,7,N,,,,,,,,
721,강남구청,7,N,,,,,,,,
722,학동,7,N,,,,,,,,
723,논현,7,N,,,,,,,,
724,반포,7,N,,,,,,,,
725,고속터미널,7,Y,,,,,,,,
726,내방,7,N,,,,,,,,
727,이수,7,N,,,,,,,,
728,남성,7,N,,,,,,,,
729,숭실대입구,7,N,,,,,,,,
730,상도,7,N,,,,,,,,
731,장승배기,7,N,,,,,,,,
732,신대방삼거리,7,N,,,,,,,,
733,보라매,7,N,,,,,,,,
734,신풍,7,N,,,,,,,,
735,대림,7,Y,,,,,,,,
736,남구로,7,N,,,,,,,,
737,가산디지털단지,7,Y,,,,,,,,
738,철산,7,N,,,,,,,,
739,광명사거리,7,N,,,,,,,,
740,천왕,7,N,,,,,,,,
741,온수,7,Y,,,,,,,,
742,까치울,7,N,,,,,,,,
743,부천종합운동장,7,N,,,,,,,,
744,춘의,7,N,,,,,,,,
745,신중동,7,N,,,,,,,,
746,부천시청,7,N,,,,,,,,
747,상동,7,N,,,,,,,,
748,삼산체육관,7,N,,,,,,,,
749,굴포천,7,N,,,,,,,,
